symbol,log2FC,p_value_neg,p_value_pos,p_value_twosided
BCKDHB,-3.604287240,0.000224386,0.999996045,0.002034433
RBPJL,-3.604386991,0.000223052,0.999996217,0.002022902
TAS2R20,-3.604458820,0.000228561,0.999995425,0.002070473
RXFP2,-3.604682727,0.000221245,0.999996470,0.002007288
ARHGEF11,-3.604739320,0.000240203,0.999995869,0.002170788
FAM167B,-3.604752237,0.000221378,0.999996454,0.002008439
SFT2D1,-3.604812037,0.000226081,0.999995782,0.002049072
DCLK2,-3.604928110,0.000223573,0.999996134,0.002027410
ARL8B,-3.605126856,0.000270004,0.999995055,0.002426321
IL37,-3.605135700,0.000229226,0.999995303,0.002076211
CLEC3A,-3.605212601,0.000220667,0.999996532,0.002002289
SIGLEC7,-3.605269177,0.000236716,0.999996126,0.002140766
MRPL49,-3.605271369,0.000225375,0.999995879,0.002042974
KLB,-3.605494064,0.000426322,0.999984522,0.003742593
MED23,-3.605544693,0.000220526,0.999996544,0.002001076
MMP24,-3.605554217,0.000223722,0.999996079,0.002028692
ANKIB1,-3.605707701,0.000221706,0.999996376,0.002011273
KCNH8,-3.605744710,0.000226503,0.999995684,0.002052711
OR11H6,-3.605753877,0.000224380,0.999995968,0.002034375
GOLT1A,-3.605997837,0.000236672,0.999994057,0.002140395
NAT8L,-3.606156714,0.000243817,0.999992666,0.002201866
RAB40AL,-3.606164442,0.000229541,0.999995203,0.002078929
GIPR,-3.606191338,0.000223397,0.999996094,0.002025884
PARP10,-3.606232967,0.000221008,0.999996452,0.002005236
DNAJC15,-3.606252998,0.000225396,0.999995835,0.002043150
IL18BP,-3.606270257,0.000224794,0.999995914,0.002037955
KIAA0895,-3.606297463,0.001598101,0.976178399,0.008532765
GALNT6,-3.606358101,0.000220792,0.999996479,0.002003374
TCF15,-3.606630687,0.000220840,0.999996460,0.002003786
PER1,-3.606632114,0.000220624,0.999996496,0.002001920
EXOC7,-3.606632349,0.000224716,0.999995882,0.002037278
KIF3B,-3.607010862,0.000219977,0.999996573,0.001996322
MASP2,-3.607024282,0.000221577,0.999996351,0.002010157
TMEM101,-3.607096938,0.000228770,0.999995310,0.002072280
VCP,-3.607369271,0.000220179,0.999996536,0.001998072
PROSC,-3.607486750,0.000220382,0.999996500,0.001999827
PDE6C,-3.607494981,0.000220232,0.999996517,0.001998530
TNP2,-3.607573463,0.000221043,0.999996409,0.002005546
TMEM132E,-3.607662090,0.000221369,0.999996350,0.002008362
C16orf89,-3.607746815,0.000220908,0.999996412,0.002004379
NXNL2,-3.607786134,0.000221128,0.999996393,0.002006275
CENPV,-3.607822521,0.000221155,0.999996378,0.002006511
SAMM50,-3.607852154,0.000220727,0.999996434,0.002002810
RBMY1E,-3.607859317,0.000219203,0.999996654,0.001989636
SAGE1,-3.607918124,0.000229671,0.999995139,0.002080053
GPR19,-3.607978538,0.000221609,0.999996292,0.002010433
RNF113A,-3.608017099,0.000220510,0.999996470,0.002000932
NME6,-3.608212369,0.000219317,0.999996625,0.001990617
PMP2,-3.608332044,0.000191918,0.999996997,0.001752789
SDK2,-3.608374083,0.000219358,0.999996617,0.001990970
WDR76,-3.608384416,0.000220968,0.999996374,0.002004890
FAM155B,-3.608471978,0.000221613,0.999996305,0.002010466
HHAT,-3.608489639,0.000226061,0.999995653,0.002048896
RTP5,-3.608617583,0.000220065,0.999996512,0.001997084
SUPT16H,-3.608717282,0.000221061,0.999996372,0.002005701
KIF5B,-3.608737581,0.000220497,0.999996444,0.002000826
SLC30A8,-3.608898791,0.001199244,0.994186801,0.009899792
NCF2,-3.609066202,0.000240648,0.999995683,0.002174614
